No,transactionDate,houseAge,distanceToNearestMRTstation,latitude,longitude,housePriceOfUnitArea,houseAgeStandardized
1,2012.917,32.0,84.87882,24.98298,121.54024,38.07664233576642,1.2582452855062911
2,2012.917,19.5,306.5947,24.98034,121.53951,42.2,0.16447390833385359
3,2013.583,13.3,561.9845,24.98746,121.54391,47.3,-0.3780366947436754
4,2013.5,13.3,561.9845,24.98746,121.54391,54.8,-0.3780366947436754
5,2012.833,5.0,390.5684,24.97937,121.54245,43.1,-1.104300889186174
6,2012.667,7.1,2175.03,24.96305,121.51254,32.1,-0.9205472978212046
7,2012.667,34.5,623.4731,24.97933,121.53642,40.3,1.4769995609407787
8,2013.417,20.3,287.6025,24.98042,121.54228,46.7,0.23447527647288965
9,2013.5,31.7,5512.038,24.95095,121.48458,18.8,1.2319947724541527
10,2013.417,17.9,1783.18,24.96731,121.51486,22.1,0.024471172055781438
11,2013.083,34.8,405.2134,24.97349,121.53372,41.4,1.5032500739929169
12,2013.333,6.3,90.45606,24.97433,121.5431,58.1,-0.9905486659602405
13,2012.917,13.0,492.2313,24.96515,121.53737,39.3,-0.404287207795814
14,2012.667,20.4,2469.645,24.96108,121.51046,23.8,0.24322544749026898
15,2013.5,13.2,1164.838,24.99156,121.53406,34.3,-0.38678686576105503
16,2013.583,35.7,579.2083,24.9824,121.54619,50.5,1.582001613149333
17,2013.25,0.0,292.9978,24.97744,121.54458,70.1,-1.5418094400551492
18,2012.75,17.7,350.8515,24.97544,121.53119,37.4,0.0069708300210225
19,2013.417,16.9,368.1363,24.9675,121.54451,42.3,-0.06303053811801357
20,2012.667,1.5,23.38284,24.96772,121.54102,47.7,-1.4105568747944566
21,2013.417,4.5,2275.877,24.96314,121.51151,29.3,-1.1480517442730716
22,2013.417,10.5,279.1726,24.97528,121.54541,51.6,-0.6230414832303015
23,2012.917,14.7,1360.139,24.95204,121.54842,24.6,-0.2555343005003625
24,2013.083,10.1,279.1726,24.97528,121.54541,47.9,-0.6580421672998196
25,2013.0,39.6,480.6977,24.97353,121.53885,38.8,1.9232582828271334
26,2013.083,29.3,1487.868,24.97542,121.51726,27.0,1.0219906680370447
27,2012.667,3.1,383.8624,24.98085,121.54391,56.2,-1.2705541385163845
28,2013.25,10.4,276.449,24.95593,121.53913,38.07664233576642,-0.631791654247681
29,2013.5,19.2,557.478,24.97419,121.53797,47.0,0.138223395281715
30,2013.083,7.1,451.2438,24.97563,121.54694,57.1,-0.9205472978212046
31,2013.5,25.9,4519.69,24.94826,121.49587,22.1,0.7244848534461416
32,2012.75,29.6,769.4034,24.98281,121.53408,25.0,1.0482411810891834
33,2012.75,37.9,488.5727,24.97349,121.53451,34.2,1.7745053755316818
34,2013.25,16.5,323.655,24.97841,121.54281,49.3,-0.09803122218753145
35,2012.75,15.4,205.367,24.98419,121.54243,55.1,-0.19428310337870594
36,2013.5,13.9,4079.418,25.01459,121.51816,27.3,-0.3255356686393984
37,2012.917,14.7,1935.009,24.96386,121.51458,22.9,-0.2555343005003625
38,2013.167,12.0,1360.139,24.95204,121.54842,38.07664233576642,-0.491788917969609
39,2012.667,3.1,577.9615,24.97201,121.54722,47.7,-1.2705541385163845
40,2013.167,16.2,289.3248,24.98203,121.54348,46.2,-0.12428173523967001
41,2013.0,13.6,4082.015,24.94155,121.50381,15.9,-0.351786181691537
42,2013.5,16.8,4066.587,24.94297,121.50342,18.2,-0.07178070913539289
43,2013.417,36.1,519.4617,24.96305,121.53758,34.7,1.617002297218851
